permit_id,city,permit_date,units,permit_type,work_kind,is_residential,status,lng,lat,address,source_url
CP-2021-003932,philadelphia,2021-08-05,4,Building,New Construction,true,Completed,-75.13314205010441,39.9740502408092,1601 FRANKFORD AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-017652,philadelphia,2021-12-29,2,Residential Building,New Construction,true,Completed,-75.1407040496602,39.98019711111911,1921 N 4TH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
1040212,philadelphia,2021-10-18,1,Residential Building,New Construction (Stand Alone),true,Issued,-75.15286527008668,39.93530565062295,1035 S RANDOLPH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2023-008183,philadelphia,2023-09-19,1,Residential Building,New Construction,true,Completed,-75.14035958032723,39.97485869102716,244 W OXFORD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-019465,philadelphia,2022-04-26,1,Residential Building,New Construction,true,Completed,-75.17425432010435,39.976668230742455,2301 MASTER ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
1034131,philadelphia,2020-07-07,1,Building,New Construction,true,Completed,-75.16607358044456,39.97205437072672,1805 RIDGE AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-013771,philadelphia,2020-12-29,2,Residential Building,New Construction,true,Completed,-75.11693210992816,39.971272101012175,2001 BEACH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2022-002239,philadelphia,2022-11-30,9,Building,New Construction,true,Completed,-75.14844649037995,39.98510512107114,914-18 W SUSQUEHANNA AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-003480,philadelphia,2021-07-15,1,Residential Building,New Construction,true,Completed,-75.17527842975383,40.02504223125533,408 W QUEEN LN,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-007594,philadelphia,2022-03-29,6,Building,New Construction,true,Completed,-75.20957629004334,39.9753882409132,1717 N 42ND ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2022-002305,philadelphia,2022-05-26,2,Residential Building,New Construction,true,Issued,-75.11687962988753,39.98562095087028,2201 E SOMERSET ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-019102,philadelphia,2021-12-09,1,Residential Building,New Construction,true,Completed,-75.11693210992816,39.971272101012175,2001 BEACH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2024-004506,philadelphia,2024-09-29,3,Building,New Construction,true,Completed,-75.14959312002262,39.992614620742216,2638 N 11TH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-009385,philadelphia,2024-10-15,1,Residential Building,New Construction,true,Issued,-75.10336183037997,39.98696865060366,2536 E MADISON ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
